chrom	start	end	name	score	strand	Gene_id	Biotype	IP1	IN1	IP2	IN2	IP3	IN3
II	774725	774891	.	.	.	YBR286W	protein_coding	68	47	96	73	30	42
II	88511	89112	.	.	.	YBL072C	protein_coding	4828	3484	8984	3459	4017	3216
III	119613	119846	.	.	.	YCR004C	protein_coding	74	42	130	35	75	25
III	137975	138275	.	.	.	YCR012W	protein_coding	4127	4223	7293	4359	2611	4427
III	172896	173148	.	.	.	YCR028C-A	protein_coding	124	70	253	72	98	72
III	173253	173431	.	.	.	YCR028C-A	protein_coding	106	42	152	39	45	34
III	177407	177950	.	.	.	YCR031C	protein_coding	3587	582	7394	613	3253	542
III	37874	38657	.	.	.	YCL050C	protein_coding	305	93	345	94	171	70
IV	1013292	1013665	.	.	.	YDR276C	protein_coding	435	114	887	102	353	67
IV	1058122	1058337	.	.	.	YDR298C	protein_coding	59	41	130	44	55	29
IV	1058419	1058885	.	.	.	YDR298C	protein_coding	158	103	320	102	141	103
IV	1072252	1072496	.	.	.	YDR304C	protein_coding	124	91	223	97	88	120
IV	1108702	1108943	.	.	.	YDR321W	protein_coding	182	120	297	117	100	121
IV	1109533	1109685	.	.	.	YDR321W	protein_coding	120	87	182	116	66	118
IV	116344	116676	.	.	.	YDL192W	protein_coding	618	561	1234	551	492	556
IV	118159	118309	.	.	.	YDL191W	protein_coding	736	787	1821	722	520	432
IV	1183347	1183630	.	.	.	YDR353W	protein_coding	286	226	391	227	174	229
IV	1239480	1239696	.	.	.	YDR382W	protein_coding	1829	1672	3638	1495	1442	1230
IV	1250582	1250734	.	.	.	YDR388W	protein_coding	64	40	73	41	30	28
IV	1301609	1302083	.	.	.	YDR417C	protein_coding	2928	1903	6238	1968	2641	1625
IV	1301609	1302083	.	.	.	YDR418W	protein_coding	2928	1903	6238	1968	2641	1625
IV	1324770	1324962	.	.	.	YDR429C	protein_coding	247	210	414	188	185	229
IV	1325108	1325286	.	.	.	YDR429C	protein_coding	142	110	284	81	62	66
IV	1360393	1360660	.	.	.	YDR450W	protein_coding	1652	1596	3866	1610	1441	1549
IV	1366345	1366796	.	.	.	YDR454C	protein_coding	443	327	839	364	414	350
IV	1402210	1402493	.	.	.	YDR471W	protein_coding	846	678	1751	632	683	561
IV	1402884	1403035	.	.	.	snR13	snoRNA	394	184	1026	40	83	31
IV	1421199	1421379	.	.	.	YDR483W	protein_coding	76	52	118	43	22	38
IV	1450298	1450461	.	.	.	YDR500C	protein_coding	539	550	1412	499	381	284
IV	1469400	1469768	.	.	.	YDR510C-A	protein_coding	267	13	434	21	182	14
IV	1469400	1469768	.	.	.	YDR510W	protein_coding	267	13	434	21	182	14
IV	1471099	1471377	.	.	.	YDR513W	protein_coding	102	74	185	78	74	69
IV	1489315	1489865	.	.	.	YDR524C-B	protein_coding	4847	663	5125	675	2688	624
IV	1489315	1489865	.	.	.	YDR524W-C	protein_coding	4847	663	5125	675	2688	624
IV	229851	230026	.	.	.	YDL130W	protein_coding	161	18	509	13	73	8
IV	230246	230601	.	.	.	YDL130W	protein_coding	1427	369	3472	331	1707	375
IV	239005	239419	.	.	.	YDL125C	protein_coding	302	161	491	129	220	120
IV	286323	286621	.	.	.	YDL097C	protein_coding	114	78	170	88	48	44
IV	306830	307360	.	.	.	YDL083C	protein_coding	2109	429	3165	434	1730	447
IV	308785	309396	.	.	.	YDL082W	protein_coding	1921	963	3394	962	1669	901
IV	309793	310173	.	.	.	YDL081C	protein_coding	2152	1231	4326	1332	1892	1067
IV	322228	322378	.	.	.	YDL075W	protein_coding	182	77	460	116	198	47
IV	322648	322929	.	.	.	YDL075W	protein_coding	1709	1140	3695	1286	1480	976
IV	329897	330053	.	.	.	YDL072C	protein_coding	72	51	110	43	55	46
IV	330243	330430	.	.	.	YDL072C	protein_coding	68	36	101	24	40	15
IV	340465	340831	.	.	.	YDL061C	protein_coding	665	93	1826	118	714	102
IV	364197	364472	.	.	.	YDL050C	protein_coding	168	127	339	187	135	196
IV	364197	364472	.	.	.	YDL051W	protein_coding	168	127	339	187	135	196
IV	427290	428422	.	.	.	YDL014W	protein_coding	639	271	1253	321	497	286
IV	443056	443448	.	.	.	YDL004W	protein_coding	149	75	255	97	122	71
IV	471861	472958	.	.	.	YDR012W	protein_coding	1937	296	3252	364	1580	361
IV	491818	492411	.	.	.	YDR025W	protein_coding	2058	314	3988	344	1805	315
IV	555915	556090	.	.	.	YDR050C	protein_coding	1998	1940	3504	2053	1512	1978
IV	556258	556452	.	.	.	YDR050C	protein_coding	1628	1390	2973	1252	968	1050
IV	565280	565462	.	.	.	YDR056C	protein_coding	69	58	115	55	33	63
IV	579979	580438	.	.	.	YDR064W	protein_coding	2650	1082	4858	1160	2607	1214
IV	589210	589399	.	.	.	YDR071C	protein_coding	111	85	184	93	74	60
IV	601789	602052	.	.	.	YDR077W	protein_coding	127	45	182	51	77	54
IV	616872	617185	.	.	.	YDR086C	protein_coding	222	148	477	156	172	133
IV	630309	630593	.	.	.	YDR092W	protein_coding	90	26	181	48	75	44
IV	644218	644894	.	.	.	YDR098C	protein_coding	258	118	389	149	177	134
IV	720943	721481	.	.	.	YDR133C	protein_coding	316	67	521	63	224	56
IV	768477	769031	.	.	.	YDR154C	protein_coding	3019	1290	5240	1469	2607	1383
IV	768477	769031	.	.	.	YDR155C	protein_coding	3019	1290	5240	1469	2607	1383
IV	808294	810409	.	.	.	YDR172W	protein_coding	3281	1577	5308	1543	5864	1426
IV	812302	812488	.	.	.	YDR174W	protein_coding	68	41	113	41	38	37
IV	871087	871403	.	.	.	YDR209C	protein_coding	153	112	300	113	103	75
IV	871087	871403	.	.	.	YDR210W	protein_coding	153	112	300	113	103	75
IV	914272	914747	.	.	.	YDR224C	protein_coding	748	68	767	91	437	80
IV	915523	915685	.	.	.	YDR225W	protein_coding	392	344	839	267	237	228
IV	929701	929904	.	.	.	YDR233C	protein_coding	74	7	66	6	38	8
IX	186568	187590	.	.	.	YIL094C	protein_coding	351	183	438	136	195	201
IX	231419	231958	.	.	.	YIL069C	protein_coding	1446	737	3023	850	1259	722
IX	255097	255861	.	.	.	YIL053W	protein_coding	1140	146	1106	165	526	185
IX	256240	256607	.	.	.	YIL052C	protein_coding	1594	855	3017	809	1259	729
IX	257760	258316	.	.	.	YIL051C	protein_coding	735	160	1567	155	757	182
IX	274120	274610	.	.	.	YIL043C	protein_coding	512	414	862	400	397	393
IX	274728	274888	.	.	.	YIL043C	protein_coding	131	123	250	89	84	82
IX	276580	277038	.	.	.	YIL041W	protein_coding	156	30	189	27	61	35
IX	317200	317362	.	.	.	YIL018W	protein_coding	1989	1591	4328	1264	1636	1090
IX	317433	317590	.	.	.	YIL018W	protein_coding	2510	2060	4360	2206	2299	2319
IX	317662	317885	.	.	.	YIL018W	protein_coding	3183	2549	5911	2566	2803	2461
IX	423194	423424	.	.	.	YIR037W	protein_coding	78	24	153	34	69	27
IX	69159	69487	.	.	.	YIL148W	protein_coding	2518	1797	5155	1769	2021	1807
IX	89134	89327	.	.	.	YIL138C	protein_coding	97	73	129	63	75	43
IX	98455	99133	.	.	.	YIL133C	protein_coding	2359	617	4078	729	1879	628
Mito	14033	14227	.	.	.	Q0045	protein_coding	558	592	1128	565	360	422
Mito	14033	14227	.	.	.	Q0050	protein_coding	558	592	1128	565	360	422
Mito	14033	14227	.	.	.	Q0055	protein_coding	558	592	1128	565	360	422
Mito	14033	14227	.	.	.	Q0060	protein_coding	558	592	1128	565	360	422
Mito	14033	14227	.	.	.	Q0065	protein_coding	558	592	1128	565	360	422
Mito	14033	14227	.	.	.	Q0070	protein_coding	558	592	1128	565	360	422
Mito	15495	15646	.	.	.	Q0045	protein_coding	537	671	1005	877	426	658
Mito	15495	15646	.	.	.	Q0050	protein_coding	537	671	1005	877	426	658
Mito	15495	15646	.	.	.	Q0055	protein_coding	537	671	1005	877	426	658
Mito	15495	15646	.	.	.	Q0060	protein_coding	537	671	1005	877	426	658
Mito	15495	15646	.	.	.	Q0065	protein_coding	537	671	1005	877	426	658
Mito	15495	15646	.	.	.	Q0070	protein_coding	537	671	1005	877	426	658
Mito	28913	29314	.	.	.	Q0085	protein_coding	620	378	911	533	525	401
Mito	40758	40915	.	.	.	Q0105	protein_coding	265	262	501	244	207	262
Mito	40758	40915	.	.	.	Q0120	protein_coding	265	262	501	244	207	262
Mito	58130	60917	.	.	.	Q0158	rRNA	13522	841	1642	1172	746	1383
Mito	61024	61342	.	.	.	Q0158	rRNA	362	215	373	297	145	242
Mito	61024	61342	.	.	.	Q0160	protein_coding	362	215	373	297	145	242
Mito	61765	62307	.	.	.	Q0158	rRNA	3799	144	289	183	114	270
Mito	6507	8180	.	.	.	Q0020	rRNA	18366	211	495	433	123	450
Mito	73708	73887	.	.	.	Q0250	protein_coding	80	84	151	41	40	30
Mito	74201	74393	.	.	.	Q0250	protein_coding	341	363	546	423	270	382
V	100748	101381	.	.	.	YEL027W	protein_coding	1953	1332	4002	1457	1662	1232
V	101880	102357	.	.	.	YEL026W	protein_coding	432	15	898	22	490	15
V	139122	140002	.	.	.	YEL009C	protein_coding	516	271	621	279	294	308
V	150290	150935	.	.	.	YEL001C	protein_coding	371	186	607	166	270	176
V	166335	166743	.	.	.	YER007C-A	protein_coding	164	115	285	142	140	112
V	172084	172509	.	.	.	YER009W	protein_coding	527	271	907	274	382	272
V	177806	178292	.	.	.	YER012W	protein_coding	201	107	322	98	147	108
V	194407	194562	.	.	.	YER019C-A	protein_coding	102	101	176	88	40	57
V	201077	201898	.	.	.	YER023C-A	protein_coding	459	325	691	290	362	297
V	201077	201898	.	.	.	YER023W	protein_coding	459	325	691	290	362	297
V	214234	214445	.	.	.	YER031C	protein_coding	93	58	182	74	78	67
V	235583	237087	.	.	.	YER043C	protein_coding	628	279	2003	326	844	301
V	269372	269794	.	.	.	YER056C-A	protein_coding	881	292	2869	301	1138	261
V	270722	271125	.	.	.	YER057C	protein_coding	230	49	364	75	161	41
V	281842	282051	.	.	.	YER063W	protein_coding	71	25	128	45	62	15
V	302827	303269	.	.	.	YER072W	protein_coding	344	36	333	35	214	44
V	332461	332794	.	.	.	YER087C-B	protein_coding	165	12	239	18	89	16
V	363137	363718	.	.	.	YER102W	protein_coding	4206	3148	8241	3251	3620	3140
V	423962	424355	.	.	.	YER131W	protein_coding	1688	736	3153	785	1292	603
V	424689	424879	.	.	.	snR4	snoRNA	2671	1013	5530	659	1281	358
V	465263	465777	.	.	.	YER147C-A	protein_coding	159	114	266	105	117	114
V	465263	465777	.	.	.	YER148W	protein_coding	159	114	266	105	117	114
V	483697	483847	.	.	.	YER156C	protein_coding	54	26	78	50	37	40
V	483989	484266	.	.	.	YER156C	protein_coding	112	54	154	54	47	50
V	510420	510792	.	.	.	YER165W	protein_coding	125	49	144	55	60	57
V	510895	511557	.	.	.	YER165W	protein_coding	191	89	377	134	156	135
V	52763	53190	.	.	.	YEL053W-A	protein_coding	1947	1312	4698	1420	1965	1294
V	52763	53190	.	.	.	YEL054C	protein_coding	1947	1312	4698	1420	1965	1294
V	546903	548118	.	.	.	YER178W	protein_coding	551	267	1625	319	679	314
V	58375	58883	.	.	.	YEL051W	protein_coding	519	388	1225	405	487	318
V	85654	86285	.	.	.	YEL033W	protein_coding	2245	790	2972	838	1701	935
V	85654	86285	.	.	.	YEL034C-A	protein_coding	2245	790	2972	838	1701	935
V	85654	86285	.	.	.	YEL034W	protein_coding	2245	790	2972	838	1701	935
VI	102468	102728	.	.	.	YFL018C	protein_coding	78	28	85	36	39	19
VI	114974	115686	.	.	.	YFL010C	protein_coding	324	142	499	161	234	128
VI	114974	115686	.	.	.	YFL010W-A	protein_coding	324	142	499	161	234	128
VI	220518	221247	.	.	.	YFR031C-A	protein_coding	4930	2914	9136	3132	4383	2981
VI	223299	223461	.	.	.	YFR032C-A	protein_coding	599	541	1529	365	313	232
VI	241132	241320	.	.	.	YFR044C	protein_coding	77	17	103	24	33	18
VI	252612	252776	.	.	.	YFR052W	protein_coding	78	55	132	41	40	34
VI	252941	253260	.	.	.	YFR052W	protein_coding	136	97	176	99	107	72
VI	53199	54451	.	.	.	YFL039C	protein_coding	2546	1041	3549	1123	1506	1080
VI	55416	55982	.	.	.	YFL038C	protein_coding	455	260	681	281	282	277
VI	64295	64533	.	.	.	YFL034C-A	protein_coding	75	44	132	42	62	63
VII	1000912	1001130	.	.	.	YGR254W	protein_coding	183	115	369	108	89	90
VII	1001209	1001861	.	.	.	YGR254W	protein_coding	989	530	2598	585	1074	473
VII	1025546	1025787	.	.	.	YGR267C	protein_coding	87	60	163	65	56	50
VII	1057779	1058045	.	.	.	YGR282C	protein_coding	294	175	406	196	174	212
VII	1058121	1058699	.	.	.	YGR282C	protein_coding	550	384	728	329	349	303
VII	1061939	1062230	.	.	.	YGR285C	protein_coding	279	204	571	207	202	169
VII	1062374	1063123	.	.	.	YGR285C	protein_coding	554	334	1045	384	406	345
VII	144864	145111	.	.	.	YGL191W	protein_coding	86	66	132	76	73	53
VII	148170	148595	.	.	.	YGL189C	protein_coding	3328	690	6182	736	2715	652
VII	227933	228273	.	.	.	YGL147C	protein_coding	1777	1765	3389	1880	1629	1670
VII	254606	255332	.	.	.	YGL135W	protein_coding	3736	1276	4025	1241	2348	1378
VII	277649	277888	.	.	.	YGL123C-A	protein_coding	2243	2290	4241	2260	1607	1871
VII	277649	277888	.	.	.	YGL123W	protein_coding	2243	2290	4241	2260	1607	1871
VII	277969	278214	.	.	.	YGL123W	protein_coding	3186	3179	5747	3408	2613	3304
VII	306617	306822	.	.	.	YGL106W	protein_coding	98	56	210	48	64	40
VII	311535	311758	.	.	.	YGL102C	protein_coding	3036	2872	5847	3096	2433	2474
VII	311535	311758	.	.	.	YGL103W	protein_coding	3036	2872	5847	3096	2433	2474
VII	316788	317008	.	.	.	snR82	snoRNA	4722	1671	11561	1486	3001	1132
VII	344748	345050	.	.	.	YGL089C	protein_coding	229	91	451	109	184	96
VII	364273	365040	.	.	.	YGL076C	protein_coding	2718	894	4165	988	2285	1082
VII	365377	365585	.	.	.	YGL076C	protein_coding	157	25	345	14	78	21
VII	437715	437909	.	.	.	YGL031C	protein_coding	1151	1013	2723	884	947	791
VII	439307	439548	.	.	.	YGL030W	protein_coding	1373	1029	3004	970	1111	818
VII	474476	474890	.	.	.	YGL011C	protein_coding	239	69	318	85	158	81
VII	480624	480949	.	.	.	YGL008C	protein_coding	459	384	756	422	269	386
VII	497604	497783	.	.	.	YGR001C	protein_coding	58	25	131	23	47	20
VII	526938	527335	.	.	.	YGR020C	protein_coding	330	219	686	198	232	216
VII	534211	534441	.	.	.	YGR027C	protein_coding	1174	1468	3133	1413	990	1102
VII	556312	556470	.	.	.	YGR034W	protein_coding	773	838	1858	607	530	507
VII	559585	560007	.	.	.	YGR037C	protein_coding	383	103	692	122	237	101
VII	610575	611345	.	.	.	YGR060W	protein_coding	359	210	448	196	192	220
VII	63285	63550	.	.	.	YGL231C	protein_coding	115	65	171	62	66	64
VII	648693	648885	.	.	.	YGR085C	protein_coding	662	527	1344	560	533	512
VII	649581	650093	.	.	.	YGR086C	protein_coding	352	231	469	239	231	229
VII	650410	650630	.	.	.	YGR086C	protein_coding	160	111	240	103	75	95
VII	727328	727634	.	.	.	YGR118W	protein_coding	1626	1647	3402	1659	1503	1577
VII	72737	72960	.	.	.	YGL226C-A	protein_coding	76	22	113	20	40	10
VII	76938	77098	.	.	.	YGL225W	protein_coding	80	71	168	63	45	58
VII	787317	787473	.	.	.	YGR148C	protein_coding	836	663	1728	635	812	680
VII	787560	787774	.	.	.	YGR148C	protein_coding	1035	808	2231	737	773	589
VII	806846	807063	.	.	.	YGR159C	protein_coding	355	265	704	326	234	247
VII	807405	807696	.	.	.	YGR159C	protein_coding	317	196	508	263	179	163
VII	807405	807696	.	.	.	YGR160W	protein_coding	317	196	508	263	179	163
VII	855305	855558	.	.	.	YGR180C	protein_coding	263	225	488	247	216	186
VII	855950	856417	.	.	.	YGR180C	protein_coding	387	259	676	278	250	226
VII	866342	867495	.	.	.	YGR185C	protein_coding	520	242	811	323	304	269
VII	882739	883849	.	.	.	YGR192C	protein_coding	18991	4802	23054	5211	11096	5052
VII	912907	913262	.	.	.	YGR209C	protein_coding	379	250	622	256	269	265
VII	921076	921739	.	.	.	YGR214W	protein_coding	2320	1323	3269	1370	1589	1455
VIII	104242	104393	.	.	.	YHL001W	protein_coding	95	42	242	29	38	15
VIII	104756	105071	.	.	.	YHL001W	protein_coding	1258	779	2369	842	995	803
VIII	160769	161529	.	.	.	YHR026W	protein_coding	770	493	1584	523	729	504
VIII	187149	187535	.	.	.	YHR039C-A	protein_coding	544	307	1289	344	440	231
VIII	206754	206946	.	.	.	YHR049W	protein_coding	102	68	142	65	66	72
VIII	212558	212736	.	.	.	RUF5-1	ncRNA	265	231	464	217	140	138
VIII	212558	212736	.	.	.	YHR052W-A	protein_coding	265	231	464	217	140	138
VIII	212558	212736	.	.	.	YHR053C	protein_coding	265	231	464	217	140	138
VIII	214561	214733	.	.	.	RUF5-2	ncRNA	257	256	498	242	125	124
VIII	214561	214733	.	.	.	YHR054W-A	protein_coding	257	256	498	242	125	124
VIII	214561	214733	.	.	.	YHR055C	protein_coding	257	256	498	242	125	124
VIII	283085	283251	.	.	.	YHR089C	protein_coding	109	105	266	104	68	82
VIII	33121	34076	.	.	.	YHL034C	protein_coding	449	159	708	152	291	106
VIII	33121	34076	.	.	.	YHL034W-A	protein_coding	449	159	708	152	291	106
VIII	35257	36021	.	.	.	YHL033C	protein_coding	1655	552	2825	660	1439	688
VIII	362156	362876	.	.	.	YHR128W	protein_coding	286	54	803	56	337	58
VIII	423870	424305	.	.	.	YHR163W	protein_coding	201	116	321	132	161	118
VIII	451303	452620	.	.	.	YHR174W	protein_coding	7420	2450	24881	2918	11269	3004
VIII	462579	462753	.	.	.	YHR179W	protein_coding	65	13	151	15	73	14
VIII	487674	488286	.	.	.	YHR193C	protein_coding	1653	311	2512	358	1168	325
VIII	499187	499443	.	.	.	YHR200W	protein_coding	92	48	173	52	72	39
VIII	499531	499795	.	.	.	YHR200W	protein_coding	91	50	165	54	80	66
VIII	504457	505285	.	.	.	YHR203C	protein_coding	3894	1859	5627	1810	2726	1794
X	147154	147360	.	.	.	YJL143W	protein_coding	78	55	133	55	52	51
X	150910	151570	.	.	.	YJL140W	protein_coding	453	116	468	86	314	88
X	154457	154686	.	.	.	YJL138C	protein_coding	272	249	434	232	160	218
X	156631	156802	.	.	.	YJL136C	protein_coding	660	543	1598	469	506	348
X	187030	187672	.	.	.	YJL124C	protein_coding	201	111	330	97	133	90
X	190395	191042	.	.	.	YJL120W	protein_coding	257	37	669	64	336	35
X	190395	191042	.	.	.	YJL121C	protein_coding	257	37	669	64	336	35
X	228195	228446	.	.	.	snR37	snoRNA	10029	8290	18982	7542	6871	6853
X	23158	23312	.	.	.	YJL217W	protein_coding	63	58	129	31	43	33
X	23489	23656	.	.	.	YJL217W	protein_coding	133	97	234	118	139	135
X	245750	246041	.	.	.	YJL097W	protein_coding	98	26	111	32	52	31
X	338620	339066	.	.	.	YJL052W	protein_coding	517	145	610	174	250	134
X	381332	382009	.	.	.	YJL034W	protein_coding	307	199	636	198	320	174
X	453686	454687	.	.	.	YJR009C	protein_coding	4700	1182	4250	1325	2089	1352
X	461882	462408	.	.	.	YJR014W	protein_coding	188	107	340	98	133	105
X	519843	520442	.	.	.	YJR045C	protein_coding	203	120	240	103	134	141
X	569614	569773	.	.	.	YJR070C	protein_coding	61	40	96	40	48	39
X	569839	569989	.	.	.	YJR070C	protein_coding	67	60	119	63	42	44
X	570066	570549	.	.	.	YJR070C	protein_coding	159	88	274	105	103	96
X	570066	570549	.	.	.	YJR071W	protein_coding	159	88	274	105	103	96
X	577529	577704	.	.	.	YJR077C	protein_coding	63	34	79	25	37	24
X	585168	585375	.	.	.	YJR085C	protein_coding	89	76	191	62	67	67
X	622572	623040	.	.	.	YJR104C	protein_coding	1454	710	2956	681	1391	636
X	651868	652571	.	.	.	YJR123W	protein_coding	7210	4626	13119	4443	6015	4671
X	702060	702834	.	.	.	YJR145C	protein_coding	4406	3064	7795	3474	3375	3224
X	74214	74468	.	.	.	YJL191W	protein_coding	433	94	865	82	427	98
X	75063	75249	.	.	.	YJL190C	protein_coding	918	868	2140	889	719	835
X	76293	76522	.	.	.	YJL188C	protein_coding	1120	772	2381	783	721	494
X	76293	76522	.	.	.	YJL189W	protein_coding	1120	772	2381	783	721	494
X	90752	91020	.	.	.	YJL177W	protein_coding	552	316	1232	345	470	296
X	91363	91653	.	.	.	YJL177W	protein_coding	777	458	1582	510	748	524
XI	109245	109577	.	.	.	YKL180W	protein_coding	1378	209	2349	217	1005	185
XI	109799	110234	.	.	.	YKL180W	protein_coding	2120	298	3613	400	1550	327
XI	153294	153710	.	.	.	YKL160W	protein_coding	195	96	320	72	124	69
XI	158955	159288	.	.	.	YKL156C-A	protein_coding	521	311	972	365	386	290
XI	158955	159288	.	.	.	YKL156W	protein_coding	521	311	972	365	386	290
XI	163609	164366	.	.	.	YKL152C	protein_coding	8970	6252	24285	6861	10528	6503
XI	163609	164366	.	.	.	YKL153W	protein_coding	8970	6252	24285	6861	10528	6503
XI	220322	220550	.	.	.	YKL117W	protein_coding	187	133	375	123	137	103
XI	220631	221036	.	.	.	YKL117W	protein_coding	428	328	847	315	402	280
XI	259190	259689	.	.	.	YKL096C-B	protein_coding	1955	92	649	120	721	88
XI	259190	259689	.	.	.	YKL096W-A	protein_coding	1955	92	649	120	721	88
XI	282896	283073	.	.	.	YKL081W	protein_coding	99	20	163	26	54	14
XI	283355	284591	.	.	.	YKL081W	protein_coding	974	233	1106	221	686	279
XI	284965	285116	.	.	.	YKL080W	protein_coding	118	81	179	72	45	36
XI	285802	286089	.	.	.	YKL080W	protein_coding	267	213	489	291	182	255
XI	334775	334929	.	.	.	YKL056C	protein_coding	1125	925	2396	758	757	606
XI	417689	417920	.	.	.	YKL013C	protein_coding	79	55	141	52	56	38
XI	426519	426908	.	.	.	YKL009W	protein_coding	333	234	492	287	218	253
XI	431869	432043	.	.	.	YKL006W	protein_coding	178	98	404	55	94	43
XI	432386	432724	.	.	.	YKL006W	protein_coding	1754	1090	3481	1229	1439	1146
XI	48220	48874	.	.	.	YKL207W	protein_coding	253	166	481	176	210	155
XI	520115	520641	.	.	.	YKR042W	protein_coding	173	63	298	64	138	67
XI	521232	521683	.	.	.	YKR043C	protein_coding	263	186	447	176	190	148
XI	526207	526403	.	.	.	YKR048C	protein_coding	111	78	159	89	66	93
XI	551996	552146	.	.	.	YKR057W	protein_coding	610	624	1488	531	427	404
XI	555026	555224	.	.	.	YKR059W	protein_coding	288	294	471	228	160	237
XI	617965	618378	.	.	.	YKR094C	protein_coding	2224	1302	4628	1477	1837	1356
XI	80126	80438	.	.	.	YKL192C	protein_coding	105	14	155	5	94	4
XII	1029192	1029987	.	.	.	YLR448W	protein_coding	2526	192	1474	197	1070	271
XII	1031614	1031903	.	.	.	YLR449W	protein_coding	89	24	137	29	49	28
XII	166728	167161	.	.	.	YLR009W	protein_coding	139	71	263	123	92	90
XII	231749	231981	.	.	.	YLR043C	protein_coding	314	215	565	206	244	217
XII	232356	234083	.	.	.	YLR044C	protein_coding	6001	1769	6210	2108	3140	2042
XII	242600	243546	.	.	.	YLR048W	protein_coding	3191	655	3736	727	2465	736
XII	263569	263924	.	.	.	YLR061W	protein_coding	1326	681	2763	675	1359	700
XII	263569	263924	.	.	.	YLR062C	protein_coding	1326	681	2763	675	1359	700
XII	282982	283262	.	.	.	YLR075W	protein_coding	5272	4819	10155	4595	4116	4239
XII	282982	283262	.	.	.	YLR076C	protein_coding	5272	4819	10155	4595	4116	4239
XII	368744	369335	.	.	.	YLR109W	protein_coding	724	64	412	52	398	92
XII	369619	370153	.	.	.	YLR110C	protein_coding	2902	589	5041	661	4648	597
XII	39791	40235	.	.	.	YLL050C	protein_coding	813	586	1284	542	573	547
XII	440395	441424	.	.	.	YLR149C-A	protein_coding	2879	508	3137	611	1675	659
XII	440395	441424	.	.	.	YLR150W	protein_coding	2879	508	3137	611	1675	659
XII	473073	473223	.	.	.	YLR157C	protein_coding	61	45	113	43	38	34
XII	47799	48638	.	.	.	YLL044W	protein_coding	4467	1425	6963	1550	3638	1602
XII	47799	48638	.	.	.	YLL045C	protein_coding	4467	1425	6963	1550	3638	1602
XII	498967	499118	.	.	.	YLR167W	protein_coding	2359	2625	5730	2422	1910	1869
XII	506183	506349	.	.	.	YLR175W	protein_coding	108	95	168	100	46	69
XII	514069	514709	.	.	.	YLR179C	protein_coding	577	264	1156	257	542	184
XII	523038	523190	.	.	.	YLR185W	protein_coding	185	171	1621	131	393	78
XII	523836	524249	.	.	.	YLR186W	protein_coding	131	88	195	83	87	91
XII	572957	573174	.	.	.	YLR216C	protein_coding	125	94	201	82	79	75
