chrom	start	end	name	score	strand	Gene_id	Biotype	IP1	IN1	IP2	IN2	IP3	IN3
II	393445	394826	.	.	.	YBR078W	protein_coding	1003	82	810	126	1098	215
II	406556	407062	.	.	.	YBR082C	protein_coding	342	36	290	89	269	33
II	414091	414797	.	.	.	YBR084C-A	protein_coding	1731	352	2149	1125	3257	790
II	457794	458348	.	.	.	YBR109C	protein_coding	315	43	403	116	470	99
II	45930	46459	.	.	.	YBL092W	protein_coding	2222	382	3170	1436	3678	1326
II	461287	461507	.	.	.	YBR111C	protein_coding	62	12	50	59	97	39
II	47365	48202	.	.	.	YBL091C	protein_coding	248	33	162	40	261	81
II	490897	492842	.	.	.	YBR126W-A	protein_coding	1317	242	1260	538	1277	585
II	490897	492842	.	.	.	YBR126W-B	protein_coding	1317	242	1260	538	1277	585
II	490897	492842	.	.	.	YBR127C	protein_coding	1317	242	1260	538	1277	585
II	530780	532135	.	.	.	YBR143C	protein_coding	734	134	523	495	621	291
II	548488	548965	.	.	.	YBR154C	protein_coding	143	38	103	108	143	42
II	563109	564324	.	.	.	YBR162C	protein_coding	525	27	291	81	640	116
II	564426	564608	.	.	.	YBR162C	protein_coding	57	3	65	1	59	10
II	591774	592412	.	.	.	YBR181C	protein_coding	1962	1129	2110	2645	3858	2387
II	59814	60258	.	.	.	YBL087C	protein_coding	788	406	964	1214	1725	967
II	606638	607172	.	.	.	YBR191W	protein_coding	1885	695	2846	2159	3698	2679
II	606638	607172	.	.	.	YBR191W-A	protein_coding	1885	695	2846	2159	3698	2679
II	612180	613923	.	.	.	YBR196C	protein_coding	2338	930	1896	3405	2200	1813
II	665009	666392	.	.	.	YBR221C	protein_coding	602	64	532	260	597	262
II	716830	718048	.	.	.	YBR249C	protein_coding	757	138	416	582	520	368
II	774726	776293	.	.	.	YBR286W	protein_coding	586	60	291	342	711	418
II	83953	84249	.	.	.	YBL076C	protein_coding	145	57	126	108	180	90
II	88452	89160	.	.	.	YBL072C	protein_coding	2802	659	3561	2433	4705	1862
III	104580	104827	.	.	.	YCL009C	protein_coding	84	3	133	2	104	10
III	105099	105504	.	.	.	YCL009C	protein_coding	142	9	209	12	148	16
III	119638	120253	.	.	.	YCR004C	protein_coding	167	13	94	54	168	41
III	16008	16341	.	.	.	YCL064C	protein_coding	129	18	66	56	107	55
III	162579	163128	.	.	.	YCR024C-A	protein_coding	224	30	229	65	446	89
III	162579	163128	.	.	.	YCR024C-B	protein_coding	224	30	229	65	446	89
III	172894	173129	.	.	.	YCR028C-A	protein_coding	95	16	81	69	135	49
III	177409	177950	.	.	.	YCR031C	protein_coding	1884	409	3028	574	4194	1076
III	216837	218180	.	.	.	YCR053W	protein_coding	416	54	378	55	365	61
III	37829	38542	.	.	.	YCL050C	protein_coding	231	30	156	44	188	26
III	48703	50030	.	.	.	YCL043C	protein_coding	517	63	226	136	519	228
IV	1013289	1013665	.	.	.	YDR276C	protein_coding	309	27	385	45	387	35
IV	1125382	1125934	.	.	.	YDR327W	protein_coding	197	51	150	207	262	74
IV	1125382	1125934	.	.	.	YDR328C	protein_coding	197	51	150	207	262	74
IV	116288	116965	.	.	.	YDL192W	protein_coding	731	210	692	870	1085	409
IV	118139	118567	.	.	.	YDL191W	protein_coding	852	345	955	1069	1538	917
IV	1183291	1184309	.	.	.	YDR353W	protein_coding	782	127	373	493	569	297
IV	1228709	1228953	.	.	.	YDR377W	protein_coding	78	22	76	99	133	36
IV	126745	128628	.	.	.	YDL185C-A	protein_coding	1071	418	902	587	1587	948
IV	126745	128628	.	.	.	YDL185W	protein_coding	1071	418	902	587	1587	948
IV	128687	129705	.	.	.	YDL185W	protein_coding	417	199	491	423	818	414
IV	1301562	1302193	.	.	.	YDR417C	protein_coding	2752	387	3617	1430	4023	1462
IV	1301562	1302193	.	.	.	YDR418W	protein_coding	2752	387	3617	1430	4023	1462
IV	130205	130493	.	.	.	YDL184C	protein_coding	2533	745	1907	1397	2687	1615
IV	1324458	1325289	.	.	.	YDR429C	protein_coding	540	88	253	85	520	96
IV	1354823	1355237	.	.	.	YDR447C	protein_coding	1075	409	1581	1338	1824	477
IV	1360338	1360792	.	.	.	YDR450W	protein_coding	1293	455	1712	1629	2552	1777
IV	1366255	1366811	.	.	.	YDR454C	protein_coding	264	112	431	300	600	359
IV	1402137	1402658	.	.	.	YDR471W	protein_coding	1112	230	1158	729	1434	397
IV	1450212	1450487	.	.	.	YDR500C	protein_coding	445	157	505	352	895	511
IV	1469413	1469692	.	.	.	YDR510W	protein_coding	95	17	110	7	157	21
IV	1489287	1489867	.	.	.	YDR524C-B	protein_coding	3537	146	3880	323	3019	151
IV	1489287	1489867	.	.	.	YDR524W-C	protein_coding	3537	146	3880	323	3019	151
IV	154825	155195	.	.	.	YDL171C	protein_coding	106	18	113	53	114	49
IV	155400	155603	.	.	.	YDL171C	protein_coding	63	16	66	27	69	42
IV	209402	209552	.	.	.	YDL140C	protein_coding	52	5	30	2	72	9
IV	209665	210138	.	.	.	YDL140C	protein_coding	124	14	98	14	172	36
IV	210415	210576	.	.	.	YDL140C	protein_coding	47	9	39	7	69	10
IV	216522	217006	.	.	.	YDL137W	protein_coding	150	35	152	151	249	77
IV	217987	218363	.	.	.	YDL136W	protein_coding	626	232	615	663	1081	537
IV	229866	230025	.	.	.	YDL130W	protein_coding	101	12	61	6	169	56
IV	230227	230608	.	.	.	YDL130W	protein_coding	1180	164	1295	361	2040	805
IV	236154	236791	.	.	.	YDL126C	protein_coding	212	80	237	230	341	195
IV	238956	239431	.	.	.	YDL125C	protein_coding	186	31	219	97	262	72
IV	282103	283149	.	.	.	YDL100C	protein_coding	602	142	464	534	596	338
IV	285946	286488	.	.	.	YDL097C	protein_coding	161	26	73	69	136	51
IV	306827	307366	.	.	.	YDL083C	protein_coding	972	188	1710	439	1785	444
IV	308767	309456	.	.	.	YDL082W	protein_coding	1267	226	1630	570	1788	643
IV	322623	322939	.	.	.	YDL075W	protein_coding	689	214	868	587	1521	270
IV	331497	331692	.	.	.	YDL070W	protein_coding	62	5	37	13	60	15
IV	340467	340824	.	.	.	YDL061C	protein_coding	366	30	505	53	543	81
IV	355523	356915	.	.	.	YDL055C	protein_coding	2441	588	1658	2999	1937	1270
IV	363981	364685	.	.	.	YDL050C	protein_coding	256	74	270	270	368	106
IV	363981	364685	.	.	.	YDL051W	protein_coding	256	74	270	270	368	106
IV	399836	400398	.	.	.	YDL029W	protein_coding	167	54	111	188	176	97
IV	427313	428440	.	.	.	YDL014W	protein_coding	690	58	429	103	768	202
IV	44034	45912	.	.	.	YDL228C	protein_coding	7832	2134	5291	5783	5941	4453
IV	44034	45912	.	.	.	YDL229W	protein_coding	7832	2134	5291	5783	5941	4453
IV	453048	453823	.	.	.	YDR002W	protein_coding	728	188	450	619	848	252
IV	471808	472997	.	.	.	YDR012W	protein_coding	2910	309	1876	369	2295	861
IV	489487	490955	.	.	.	YDR023W	protein_coding	833	264	525	794	763	385
IV	491811	492413	.	.	.	YDR025W	protein_coding	1658	83	2191	227	2265	279
IV	508068	509273	.	.	.	YDR033W	protein_coding	1087	104	572	519	967	291
IV	522222	522909	.	.	.	YDR035W	protein_coding	204	33	122	104	213	93
IV	525485	527205	.	.	.	YDR037W	protein_coding	967	207	748	748	927	514
IV	579983	580439	.	.	.	YDR064W	protein_coding	1530	539	2889	1384	3431	1746
IV	588871	589383	.	.	.	YDR071C	protein_coding	151	45	132	136	231	32
IV	601781	602070	.	.	.	YDR077W	protein_coding	113	8	146	7	120	17
IV	616794	617200	.	.	.	YDR086C	protein_coding	186	41	187	119	294	35
IV	644381	644852	.	.	.	YDR098C	protein_coding	142	20	84	63	140	37
IV	720955	721397	.	.	.	YDR133C	protein_coding	206	12	313	18	240	16
IV	768409	769033	.	.	.	YDR154C	protein_coding	2375	455	2287	1156	2961	1456
IV	768409	769033	.	.	.	YDR155C	protein_coding	2375	455	2287	1156	2961	1456
IV	812153	812865	.	.	.	YDR174W	protein_coding	212	28	175	61	215	31
IV	871174	871411	.	.	.	YDR209C	protein_coding	70	10	47	50	100	24
IV	871174	871411	.	.	.	YDR210W	protein_coding	70	10	47	50	100	24
IV	914283	914703	.	.	.	YDR224C	protein_coding	516	29	493	85	417	14
IV	915479	916064	.	.	.	YDR225W	protein_coding	1069	194	742	769	1165	356
IV	916474	917241	.	.	.	YDR226W	protein_coding	649	214	597	755	902	381
IV	929419	929949	.	.	.	YDR233C	protein_coding	158	8	87	9	114	14
IX	186581	187068	.	.	.	YIL094C	protein_coding	142	17	93	51	114	26
IX	187244	187401	.	.	.	YIL094C	protein_coding	56	8	51	22	56	7
IX	216882	217389	.	.	.	YIL076W	protein_coding	195	38	143	153	128	52
IX	231418	232003	.	.	.	YIL069C	protein_coding	896	214	1217	544	1724	577
IX	244029	244406	.	.	.	YIL062C	protein_coding	115	22	144	106	177	60
IX	255087	255941	.	.	.	YIL053W	protein_coding	1083	70	920	103	849	110
IX	256184	256625	.	.	.	YIL052C	protein_coding	898	211	1215	619	1712	394
IX	257757	258315	.	.	.	YIL051C	protein_coding	549	68	725	106	748	97
IX	276596	277451	.	.	.	YIL041W	protein_coding	233	33	145	37	220	53
IX	317194	317371	.	.	.	YIL018W	protein_coding	1079	708	1267	1036	1902	1495
IX	69126	69509	.	.	.	YIL148W	protein_coding	1235	510	2462	1447	2533	1658
IX	98449	99160	.	.	.	YIL133C	protein_coding	1319	186	1935	330	2188	589
Mito	46667	46948	.	.	.	Q0130	protein_coding	745	153	445	471	709	192
Mito	58091	61456	.	.	.	Q0158	rRNA	13931	482	8270	963	10847	501
Mito	58091	61456	.	.	.	Q0160	protein_coding	13931	482	8270	963	10847	501
Mito	61769	62185	.	.	.	Q0158	rRNA	1678	83	668	104	1317	99
Mito	6624	8151	.	.	.	Q0020	rRNA	3262	188	2515	307	3812	390
V	101843	102365	.	.	.	YEL026W	protein_coding	656	22	663	10	501	18
V	138868	140335	.	.	.	YEL009C	protein_coding	1303	106	1356	355	1277	269
V	150294	150797	.	.	.	YEL001C	protein_coding	149	25	134	103	178	77
V	157749	159011	.	.	.	YER003C	protein_coding	490	34	271	86	363	156
V	166370	166640	.	.	.	YER007C-A	protein_coding	78	23	89	62	107	25
V	172089	172589	.	.	.	YER009W	protein_coding	352	65	658	234	672	294
V	177826	178302	.	.	.	YER012W	protein_coding	216	23	164	64	190	31
V	194285	194524	.	.	.	YER019C-A	protein_coding	103	20	82	102	115	69
V	201086	201973	.	.	.	YER023C-A	protein_coding	365	105	321	269	572	232
V	201086	201973	.	.	.	YER023W	protein_coding	365	105	321	269	572	232
V	205321	207020	.	.	.	YER025W	protein_coding	598	76	423	253	547	248
V	223327	225164	.	.	.	YER036C	protein_coding	815	117	565	597	737	380
V	235559	237143	.	.	.	YER043C	protein_coding	2045	159	1398	269	1358	308
V	264896	265789	.	.	.	YER055C	protein_coding	357	104	299	556	483	384
V	269356	269823	.	.	.	YER056C-A	protein_coding	822	143	900	188	1283	118
V	270722	271022	.	.	.	YER057C	protein_coding	106	5	116	21	121	26
V	301151	301659	.	.	.	YER070W	protein_coding	137	26	91	73	156	76
V	302828	302982	.	.	.	YER072W	protein_coding	55	3	68	8	76	9
V	304337	305600	.	.	.	YER073W	protein_coding	402	32	202	114	366	116
V	306766	307187	.	.	.	YER074W	protein_coding	1177	504	1528	1385	2450	988
V	332438	332767	.	.	.	YER087C-B	protein_coding	124	7	171	10	126	11
V	348672	349382	.	.	.	YER094C	protein_coding	301	59	221	235	362	100
V	363066	363793	.	.	.	YER102W	protein_coding	2654	616	3533	2406	4282	1549
V	380834	381361	.	.	.	YER110C	protein_coding	152	44	172	150	213	122
V	381435	382102	.	.	.	YER110C	protein_coding	191	51	308	205	255	157
V	401167	401925	.	.	.	YER119C-A	protein_coding	385	24	410	17	440	43
V	401167	401925	.	.	.	YER120W	protein_coding	385	24	410	17	440	43
V	413376	413756	.	.	.	YER126C	protein_coding	124	18	75	63	118	24
V	423912	424379	.	.	.	YER131W	protein_coding	1188	139	1091	439	1409	196
V	424678	424879	.	.	.	snR4	snoRNA	1717	247	1139	202	1602	766
V	433169	434166	.	.	.	YER133W	protein_coding	343	87	283	375	352	130
V	510313	512163	.	.	.	YER165W	protein_coding	1345	121	1033	132	1161	281
V	52497	53254	.	.	.	YEL053W-A	protein_coding	1861	460	2961	1568	3247	1728
V	52497	53254	.	.	.	YEL054C	protein_coding	1861	460	2961	1568	3247	1728
V	546842	548171	.	.	.	YER178W	protein_coding	1285	117	789	232	1079	386
V	58381	59168	.	.	.	YEL051W	protein_coding	410	106	498	184	736	266
V	67125	68690	.	.	.	YEL046C	protein_coding	595	92	514	154	588	272
V	85652	86330	.	.	.	YEL033W	protein_coding	1848	339	1831	623	1982	640
V	85652	86330	.	.	.	YEL034C-A	protein_coding	1848	339	1831	623	1982	640
V	85652	86330	.	.	.	YEL034W	protein_coding	1848	339	1831	623	1982	640
VI	115003	115635	.	.	.	YFL010C	protein_coding	288	38	150	84	249	86
VI	115003	115635	.	.	.	YFL010W-A	protein_coding	288	38	150	84	249	86
VI	130398	130623	.	.	.	YFL005W	protein_coding	80	18	77	108	111	67
VI	220452	221257	.	.	.	YFR031C-A	protein_coding	3133	1174	4073	3316	5474	2656
VI	223160	223481	.	.	.	YFR032C-A	protein_coding	539	123	517	288	794	503
VI	240001	240795	.	.	.	YFR044C	protein_coding	286	57	180	65	284	84
VI	241179	241347	.	.	.	YFR044C	protein_coding	54	5	78	4	44	19
VI	249090	249849	.	.	.	YFR050C	protein_coding	254	49	161	177	277	78
VI	252602	253183	.	.	.	YFR052W	protein_coding	149	17	182	82	159	23
VI	53152	54454	.	.	.	YFL039C	protein_coding	3764	510	3166	990	2902	1209
VI	55379	55978	.	.	.	YFL038C	protein_coding	331	54	246	126	409	110
VI	56341	57693	.	.	.	YFL037W	protein_coding	629	126	394	304	589	210
VI	64279	64516	.	.	.	YFL034C-A	protein_coding	65	16	66	27	93	13
VI	93467	94329	.	.	.	YFL022C	protein_coding	250	31	190	49	223	86
VII	1000865	1002334	.	.	.	YGR254W	protein_coding	3151	399	1832	949	2391	662
VII	1020681	1021784	.	.	.	YGR264C	protein_coding	329	126	343	406	401	260
VII	1020681	1021784	.	.	.	YGR265W	protein_coding	329	126	343	406	401	260
VII	1048747	1049369	.	.	.	YGR279C	protein_coding	280	27	211	75	359	87
VII	1057682	1058727	.	.	.	YGR282C	protein_coding	686	105	420	374	596	376
VII	1061822	1063151	.	.	.	YGR285C	protein_coding	1210	158	689	305	849	362
VII	116049	117581	.	.	.	YGL202W	protein_coding	576	79	494	256	551	297
VII	148171	148621	.	.	.	YGL189C	protein_coding	1791	200	2540	471	2736	936
VII	149689	149916	.	.	.	YGL187C	protein_coding	64	18	60	44	72	25
VII	306702	307110	.	.	.	YGL106W	protein_coding	156	43	125	53	205	52
VII	311514	311918	.	.	.	YGL102C	protein_coding	3264	1413	3884	4556	6090	3868
VII	311514	311918	.	.	.	YGL103W	protein_coding	3264	1413	3884	4556	6090	3868
VII	344629	345185	.	.	.	YGL089C	protein_coding	1331	227	1498	690	1986	564
VII	364227	365039	.	.	.	YGL076C	protein_coding	2306	404	3136	1086	3040	1010
VII	39092	40570	.	.	.	YGL245W	protein_coding	612	182	515	437	640	406
VII	400669	401255	.	.	.	YGL054C	protein_coding	188	23	171	153	225	41
VII	40712	41126	.	.	.	YGL245W	protein_coding	152	44	110	102	163	77
VII	437447	437974	.	.	.	YGL031C	protein_coding	1029	327	1475	1089	2288	643
VII	439265	439643	.	.	.	YGL030W	protein_coding	1375	388	1323	1132	1996	1268
VII	446561	446887	.	.	.	YGL026C	protein_coding	110	33	69	47	130	42
VII	447759	447932	.	.	.	YGL026C	protein_coding	54	24	40	34	60	24
VII	474453	475223	.	.	.	YGL011C	protein_coding	306	17	277	73	305	59
VII	479453	482764	.	.	.	YGL008C	protein_coding	2837	1031	2676	2770	9629	4423
VII	497584	497813	.	.	.	YGR001C	protein_coding	61	3	57	15	73	4
VII	526947	527327	.	.	.	YGR020C	protein_coding	159	31	238	117	282	55
VII	534150	534481	.	.	.	YGR027C	protein_coding	1184	554	1552	1709	2332	1479
VII	559565	560025	.	.	.	YGR037C	protein_coding	280	34	202	69	287	23
VII	610571	611571	.	.	.	YGR060W	protein_coding	399	16	195	97	239	135
VII	613534	613700	.	.	.	YGR061C	protein_coding	47	10	36	22	60	26
VII	614634	615085	.	.	.	YGR061C	protein_coding	134	19	101	54	166	60
VII	615174	615330	.	.	.	YGR061C	protein_coding	49	11	56	14	76	22
VII	648324	648955	.	.	.	YGR085C	protein_coding	1187	304	1517	1015	2039	845
VII	649472	650634	.	.	.	YGR086C	protein_coding	769	120	409	275	530	233
VII	672765	673110	.	.	.	YGR094W	protein_coding	110	31	106	53	143	75
VII	673183	673541	.	.	.	YGR094W	protein_coding	92	29	100	73	154	86
VII	695830	696306	.	.	.	YGR103W	protein_coding	123	26	99	92	144	58
VII	727291	727839	.	.	.	YGR118W	protein_coding	1762	662	2114	2085	3248	1353
VII	761454	761674	.	.	.	YGR135W	protein_coding	81	28	79	78	125	69
VII	787189	787830	.	.	.	YGR148C	protein_coding	1163	265	1561	711	1988	328
VII	798522	800120	.	.	.	YGR155W	protein_coding	1148	316	847	1173	1022	623
VII	832991	833141	.	.	.	YGR167W	protein_coding	50	5	40	6	67	3
VII	847004	847346	.	.	.	YGR175C	protein_coding	121	41	115	109	162	75
VII	847507	848398	.	.	.	YGR175C	protein_coding	313	127	248	238	336	171
VII	855193	856468	.	.	.	YGR180C	protein_coding	1049	219	711	888	774	496
VII	866510	867491	.	.	.	YGR185C	protein_coding	455	80	247	153	327	113
VII	882721	883854	.	.	.	YGR192C	protein_coding	21755	3126	17856	5423	17066	7579
VII	912845	913279	.	.	.	YGR209C	protein_coding	375	49	372	163	416	82
VII	921041	921794	.	.	.	YGR214W	protein_coding	1525	318	1885	1095	2095	622
VII	959977	961279	.	.	.	YGR234W	protein_coding	551	144	451	721	547	348
VII	970645	973903	.	.	.	YGR240C	protein_coding	1507	477	1462	1283	2425	1421
VII	998489	999121	.	.	.	YGR253C	protein_coding	280	58	155	203	274	106
VIII	104246	104396	.	.	.	YHL001W	protein_coding	63	18	45	14	91	12
VIII	104736	105179	.	.	.	YHL001W	protein_coding	796	194	885	718	1345	541
VIII	127065	127433	.	.	.	YHR010W	protein_coding	1294	588	1938	1845	2761	1344
VIII	159449	160158	.	.	.	YHR025W	protein_coding	292	22	193	26	227	66
VIII	164051	164201	.	.	.	YHR027C	protein_coding	43	7	39	27	50	26
VIII	187097	187513	.	.	.	YHR039C-A	protein_coding	308	76	223	109	526	59
VIII	206672	207215	.	.	.	YHR049W	protein_coding	202	33	145	163	164	117
VIII	212400	212752	.	.	.	RUF5-1	ncRNA	262	45	159	271	232	21
VIII	212400	212752	.	.	.	YHR052W-A	protein_coding	262	45	159	271	232	21
VIII	212400	212752	.	.	.	YHR053C	protein_coding	262	45	159	271	232	21
VIII	214392	214766	.	.	.	RUF5-2	ncRNA	282	58	148	266	222	20
VIII	214392	214766	.	.	.	YHR054W-A	protein_coding	282	58	148	266	222	20
VIII	214392	214766	.	.	.	YHR055C	protein_coding	282	58	148	266	222	20
VIII	225462	227141	.	.	.	YHR063W-A	protein_coding	1304	186	884	811	943	412
VIII	225462	227141	.	.	.	YHR064C	protein_coding	1304	186	884	811	943	412
VIII	232114	233273	.	.	.	YHR068W	protein_coding	496	136	302	294	500	358
VIII	241682	241876	.	.	.	YHR072W-A	protein_coding	78	30	74	87	138	95
VIII	282560	283287	.	.	.	YHR089C	protein_coding	426	88	314	224	608	158
VIII	33112	34042	.	.	.	YHL034C	protein_coding	385	35	256	40	391	77
VIII	33112	34042	.	.	.	YHL034W-A	protein_coding	385	35	256	40	391	77
VIII	34787	36036	.	.	.	YHL033C	protein_coding	1497	229	1644	597	1885	588
VIII	362138	362911	.	.	.	YHR128W	protein_coding	413	53	389	61	560	132
VIII	422936	423455	.	.	.	YHR162W	protein_coding	216	81	350	429	464	166
VIII	423846	424039	.	.	.	YHR163W	protein_coding	67	18	79	47	125	56
VIII	451283	452755	.	.	.	YHR174W	protein_coding	28123	2152	15267	2719	17761	4597
VIII	462511	463730	.	.	.	YHR179W	protein_coding	512	31	346	44	419	60
VIII	470902	472440	.	.	.	YHR182C-A	protein_coding	1484	573	971	1729	1259	931
VIII	470902	472440	.	.	.	YHR183W	protein_coding	1484	573	971	1729	1259	931
VIII	487668	488264	.	.	.	YHR193C	protein_coding	1019	162	863	255	1309	161
VIII	499171	499387	.	.	.	YHR200W	protein_coding	80	16	52	19	94	31
VIII	499564	499776	.	.	.	YHR200W	protein_coding	62	11	65	36	91	32
VIII	504452	505286	.	.	.	YHR203C	protein_coding	2599	767	3273	1819	3837	1643
VIII	517571	518797	.	.	.	YHR208W	protein_coding	688	142	494	413	694	220
VIII	75393	76054	.	.	.	YHL015W	protein_coding	2503	699	3205	3995	4137	1640
X	105017	105959	.	.	.	YJL167W	protein_coding	323	78	156	260	267	128
X	106414	106650	.	.	.	YJL166W	protein_coding	87	12	51	43	87	23
X	121394	121929	.	.	.	YJL159W	protein_coding	225	12	351	12	205	21
X	122153	122633	.	.	.	YJL158C	protein_coding	287	18	264	23	256	25
X	150883	151570	.	.	.	YJL140W	protein_coding	391	2	285	5	360	17
X	156432	156853	.	.	.	YJL136C	protein_coding	1176	267	1372	854	1706	509
X	165732	166255	.	.	.	YJL130C	protein_coding	169	39	198	133	359	150
X	166458	166609	.	.	.	YJL130C	protein_coding	50	4	41	19	134	37
X	171017	172388	.	.	.	YJL130C	protein_coding	547	150	609	363	925	344
X	190437	191039	.	.	.	YJL120W	protein_coding	186	23	326	17	284	126
X	190437	191039	.	.	.	YJL121C	protein_coding	186	23	326	17	284	126
X	228121	228460	.	.	.	snR37	snoRNA	15345	4975	8134	9966	15151	11685
X	338495	339071	.	.	.	YJL052W	protein_coding	545	99	325	279	485	204
X	435341	435996	.	.	.	YJL001W	protein_coding	250	53	179	234	273	126
X	443845	444813	.	.	.	YJR004C	protein_coding	310	62	269	183	793	291
X	451025	452020	.	.	.	YJR007W	protein_coding	303	13	310	31	278	27
X	453607	454717	.	.	.	YJR009C	protein_coding	6571	826	5733	1426	5185	1454
X	519448	521622	.	.	.	YJR045C	protein_coding	1657	112	1207	266	1388	288
X	558382	558613	.	.	.	YJR065C	protein_coding	85	12	55	22	87	19
X	569639	570568	.	.	.	YJR070C	protein_coding	323	55	236	113	313	73
X	569639	570568	.	.	.	YJR071W	protein_coding	323	55	236	113	313	73
X	577333	577702	.	.	.	YJR077C	protein_coding	109	12	90	32	111	26
X	608565	608949	.	.	.	YJR094W-A	protein_coding	1158	341	1137	1226	1506	834
X	622496	623062	.	.	.	YJR104C	protein_coding	1517	174	1061	559	1611	541
X	651850	652655	.	.	.	YJR123W	protein_coding	5058	1027	6748	4004	7461	3987
X	702013	702836	.	.	.	YJR145C	protein_coding	2972	1085	3924	3559	5018	3013
X	74194	74575	.	.	.	YJL191W	protein_coding	309	47	462	85	579	147
X	74805	75307	.	.	.	YJL190C	protein_coding	1271	452	1998	1955	2215	1682
X	76267	76556	.	.	.	YJL188C	protein_coding	1049	267	962	483	1182	437
X	76267	76556	.	.	.	YJL189W	protein_coding	1049	267	962	483	1182	437
X	90738	91056	.	.	.	YJL177W	protein_coding	433	149	647	206	806	211
X	91323	91732	.	.	.	YJL177W	protein_coding	593	146	799	435	1036	249
XI	100859	101625	.	.	.	YKL182W	protein_coding	220	36	249	31	451	69
XI	101716	103030	.	.	.	YKL182W	protein_coding	352	58	370	73	999	182
XI	103162	104402	.	.	.	YKL182W	protein_coding	329	150	363	314	1049	351
XI	104519	104905	.	.	.	YKL182W	protein_coding	156	82	140	191	390	155
XI	105114	105729	.	.	.	YKL182W	protein_coding	218	143	265	361	582	270
XI	106024	106877	.	.	.	YKL182W	protein_coding	419	156	440	578	674	387
XI	109232	109578	.	.	.	YKL180W	protein_coding	856	71	1169	115	1259	273
XI	109790	110228	.	.	.	YKL180W	protein_coding	1006	73	1529	298	1751	426
XI	153295	153649	.	.	.	YKL160W	protein_coding	128	14	60	14	105	17
XI	158955	159346	.	.	.	YKL156C-A	protein_coding	438	104	493	244	626	142
XI	158955	159346	.	.	.	YKL156W	protein_coding	438	104	493	244	626	142
XI	220302	221070	.	.	.	YKL117W	protein_coding	454	105	309	124	536	125
XI	259232	259684	.	.	.	YKL096W-A	protein_coding	618	18	882	31	489	21
XI	282877	283097	.	.	.	YKL081W	protein_coding	231	17	158	8	122	31
XI	283324	284668	.	.	.	YKL081W	protein_coding	1908	133	1328	168	1413	228
XI	284953	286171	.	.	.	YKL080W	protein_coding	849	116	785	677	845	617
XI	370964	371281	.	.	.	YKL035W	protein_coding	116	15	103	39	94	35
XI	42045	42235	.	.	.	YKL210W	protein_coding	65	13	59	50	68	35
XI	426300	426993	.	.	.	YKL009W	protein_coding	297	60	244	252	323	102
XI	431871	432063	.	.	.	YKL006W	protein_coding	97	17	58	15	165	80
XI	432348	432791	.	.	.	YKL006W	protein_coding	1052	214	1281	884	1879	987
XI	519809	520721	.	.	.	YKR042W	protein_coding	437	19	360	29	550	84
XI	525391	526507	.	.	.	YKR047W	protein_coding	347	107	142	180	331	210
XI	525391	526507	.	.	.	YKR048C	protein_coding	347	107	142	180	331	210
XI	617884	618422	.	.	.	YKR094C	protein_coding	1261	414	2210	1334	2415	903
XI	80099	80479	.	.	.	YKL192C	protein_coding	136	5	163	8	97	4
XII	1002576	1004136	.	.	.	YLR432W	protein_coding	740	109	543	388	748	372
XII	1017981	1018927	.	.	.	YLR441C	protein_coding	3160	860	3963	3923	4629	2744
XII	1026830	1027898	.	.	.	YLR447C	protein_coding	638	170	608	915	682	560
