chrom	start	end	name	score	strand	Gene_id	Biotype	IP1	IN1	IP2	IN2	IP3	IN3
II	414087	414738	.	.	.	YBR084C-A	protein_coding	1655	738	3507	1211	1099	1231
II	425395	425639	.	.	.	YBR088C	protein_coding	39	38	99	43	67	23
II	425395	425639	.	.	.	YBR089W	protein_coding	39	38	99	43	67	23
II	426183	426395	.	.	.	YBR089C-A	protein_coding	26	15	83	33	37	31
II	426183	426395	.	.	.	YBR090C	protein_coding	26	15	83	33	37	31
II	444142	444431	.	.	.	YBR101C	protein_coding	37	39	89	100	54	26
II	457723	458317	.	.	.	YBR109C	protein_coding	229	93	504	145	204	249
II	45974	46479	.	.	.	YBL092W	protein_coding	1892	864	4028	1416	1234	1904
II	461131	461747	.	.	.	YBR111C	protein_coding	120	63	241	119	97	74
II	47407	48147	.	.	.	YBL091C	protein_coding	85	49	265	41	147	117
II	477754	479016	.	.	.	YBR118W	protein_coding	7796	16799	17085	16615	14165	19214
II	490900	492815	.	.	.	YBR126W-A	protein_coding	713	490	1907	601	706	1099
II	490900	492815	.	.	.	YBR126W-B	protein_coding	713	490	1907	601	706	1099
II	490900	492815	.	.	.	YBR127C	protein_coding	713	490	1907	601	706	1099
II	530714	532124	.	.	.	YBR143C	protein_coding	363	234	788	533	413	345
II	548445	548991	.	.	.	YBR154C	protein_coding	88	89	236	126	93	44
II	563403	563561	.	.	.	YBR162C	protein_coding	19	14	81	25	34	60
II	567796	568367	.	.	.	YBR164C	protein_coding	73	51	192	82	53	34
II	591652	592406	.	.	.	YBR181C	protein_coding	2532	2009	5189	3139	1433	2700
II	59735	60208	.	.	.	YBL087C	protein_coding	869	730	1921	1257	441	943
II	604942	605561	.	.	.	YBR189W	protein_coding	2737	1739	5781	4219	1530	3907
II	606664	607177	.	.	.	YBR191W	protein_coding	1824	1435	3920	2219	989	2358
II	606664	607177	.	.	.	YBR191W-A	protein_coding	1824	1435	3920	2219	989	2358
II	613628	613791	.	.	.	YBR196C	protein_coding	166	460	407	375	147	236
II	665020	666355	.	.	.	YBR221C	protein_coding	235	165	658	253	304	687
II	716984	718010	.	.	.	YBR249C	protein_coding	220	308	525	505	320	900
II	722685	723071	.	.	.	YBR252W	protein_coding	76	45	162	72	54	68
II	739011	739238	.	.	.	YBR265W	protein_coding	25	19	60	25	25	13
II	88425	89112	.	.	.	YBL072C	protein_coding	2709	1284	5627	2536	1818	2166
III	104545	104886	.	.	.	YCL009C	protein_coding	67	9	133	7	34	28
III	105095	105421	.	.	.	YCL009C	protein_coding	49	25	142	7	49	51
III	117486	117653	.	.	.	YCR002C	protein_coding	15	4	41	9	34	14
III	119519	120255	.	.	.	YCR004C	protein_coding	102	56	233	57	119	158
III	15777	16271	.	.	.	YCL064C	protein_coding	76	51	235	94	86	51
III	16383	16719	.	.	.	YCL064C	protein_coding	44	27	121	58	54	37
III	172817	173349	.	.	.	YCR028C-A	protein_coding	95	54	216	90	97	68
III	177404	177916	.	.	.	YCR031C	protein_coding	1808	630	4255	737	1118	1972
III	216836	217419	.	.	.	YCR053W	protein_coding	68	33	166	25	71	80
III	217914	218185	.	.	.	YCR053W	protein_coding	30	33	97	26	41	38
III	22657	22944	.	.	.	YCL059C	protein_coding	33	20	96	27	42	25
III	23080	23236	.	.	.	YCL059C	protein_coding	18	17	58	32	33	19
III	23964	24177	.	.	.	YCL057C-A	protein_coding	30	11	82	5	38	14
III	23964	24177	.	.	.	YCL058C	protein_coding	30	11	82	5	38	14
III	37850	38024	.	.	.	YCL050C	protein_coding	22	19	77	19	44	24
III	60870	61067	.	.	.	YCL035C	protein_coding	40	19	68	38	33	48
IV	1013288	1013636	.	.	.	YDR276C	protein_coding	133	41	377	47	123	116
IV	1058078	1058855	.	.	.	YDR298C	protein_coding	132	88	271	149	111	231
IV	1071895	1072489	.	.	.	YDR304C	protein_coding	92	137	281	197	142	266
IV	1125320	1125967	.	.	.	YDR327W	protein_coding	160	144	376	202	151	124
IV	1125320	1125967	.	.	.	YDR328C	protein_coding	160	144	376	202	151	124
IV	1149994	1150193	.	.	.	YDR339C	protein_coding	24	19	77	30	44	7
IV	116312	117006	.	.	.	YDL192W	protein_coding	670	505	1380	853	585	398
IV	1167047	1167419	.	.	.	YDR346C	protein_coding	44	34	163	79	56	64
IV	1167825	1168684	.	.	.	YDR346C	protein_coding	97	108	277	165	99	170
IV	118159	118574	.	.	.	YDL191W	protein_coding	583	696	1555	1194	465	1098
IV	1183364	1184314	.	.	.	YDR353W	protein_coding	335	314	725	490	463	482
IV	1202238	1202428	.	.	.	YDR363W-A	protein_coding	40	53	91	69	38	12
IV	1221422	1221822	.	.	.	YDR372C	protein_coding	57	27	118	58	58	39
IV	1221945	1222119	.	.	.	YDR372C	protein_coding	23	20	60	34	27	22
IV	1228640	1229125	.	.	.	YDR377W	protein_coding	84	73	196	154	63	116
IV	1237524	1238082	.	.	.	YDR381W	protein_coding	99	108	249	245	108	149
IV	1239489	1239889	.	.	.	YDR382W	protein_coding	1270	1634	3144	3100	1120	3335
IV	1270177	1270791	.	.	.	YDR399W	protein_coding	105	85	243	233	95	99
IV	1301611	1302197	.	.	.	YDR417C	protein_coding	1972	952	4567	1505	1411	1734
IV	1301611	1302197	.	.	.	YDR418W	protein_coding	1972	952	4567	1505	1411	1734
IV	130205	130445	.	.	.	YDL184C	protein_coding	1220	1446	3094	1609	1137	1390
IV	1324447	1325254	.	.	.	YDR429C	protein_coding	283	104	629	105	328	93
IV	1329700	1329870	.	.	.	YDR432W	protein_coding	26	16	78	9	24	18
IV	1329700	1329870	.	.	.	YDR433W	protein_coding	26	16	78	9	24	18
IV	1354763	1355230	.	.	.	YDR447C	protein_coding	1062	810	2395	1462	753	446
IV	1360382	1360851	.	.	.	YDR450W	protein_coding	1375	1013	3023	1900	860	2035
IV	1402173	1402658	.	.	.	YDR471W	protein_coding	672	491	1676	753	590	411
IV	1469447	1469753	.	.	.	YDR510C-A	protein_coding	65	28	183	6	63	39
IV	1469447	1469753	.	.	.	YDR510W	protein_coding	65	28	183	6	63	39
IV	148453	148826	.	.	.	YDL172C	protein_coding	40	12	79	23	41	15
IV	148453	148826	.	.	.	YDL173W	protein_coding	40	12	79	23	41	15
IV	1489307	1489799	.	.	.	YDR524C-B	protein_coding	1049	185	2962	236	1508	500
IV	1489307	1489799	.	.	.	YDR524W-C	protein_coding	1049	185	2962	236	1508	500
IV	149415	150630	.	.	.	YDL171C	protein_coding	139	161	428	232	136	297
IV	154613	155737	.	.	.	YDL171C	protein_coding	130	149	379	181	91	226
IV	174184	174444	.	.	.	YDL157C	protein_coding	32	33	75	66	39	16
IV	200206	200673	.	.	.	YDL143W	protein_coding	65	100	180	124	62	158
IV	209954	210566	.	.	.	YDL140C	protein_coding	65	28	223	26	56	102
IV	216539	217187	.	.	.	YDL137W	protein_coding	157	109	369	175	149	271
IV	218010	218437	.	.	.	YDL136W	protein_coding	519	617	1179	912	376	662
IV	230237	230608	.	.	.	YDL130W	protein_coding	1071	377	2062	421	812	1123
IV	238906	239406	.	.	.	YDL125C	protein_coding	138	46	279	147	98	125
IV	263332	264044	.	.	.	YDL111C	protein_coding	99	19	214	39	61	51
IV	282080	283128	.	.	.	YDL100C	protein_coding	351	291	745	536	403	473
IV	285411	286606	.	.	.	YDL097C	protein_coding	152	100	304	180	189	157
IV	292889	293209	.	.	.	YDL092W	protein_coding	33	19	69	29	30	16
IV	301593	302191	.	.	.	YDL086C-A	protein_coding	86	39	145	55	66	84
IV	301593	302191	.	.	.	YDL086W	protein_coding	86	39	145	55	66	84
IV	305152	306575	.	.	.	YDL084W	protein_coding	659	740	1415	1491	774	1363
IV	306805	307337	.	.	.	YDL083C	protein_coding	746	293	1717	420	536	601
IV	308784	309494	.	.	.	YDL082W	protein_coding	1198	504	2387	723	901	852
IV	309713	310163	.	.	.	YDL081C	protein_coding	808	677	1986	1309	685	1490
IV	315391	316301	.	.	.	YDL078C	protein_coding	125	62	260	214	118	191
IV	322648	322961	.	.	.	YDL075W	protein_coding	631	486	1575	671	465	372
IV	32437	32894	.	.	.	YDL236W	protein_coding	50	42	118	99	66	118
IV	340464	340799	.	.	.	YDL061C	protein_coding	170	69	558	74	169	187
IV	356268	356839	.	.	.	YDL055C	protein_coding	575	916	1211	1319	705	489
IV	363972	364862	.	.	.	YDL050C	protein_coding	239	150	489	318	163	111
IV	363972	364862	.	.	.	YDL051W	protein_coding	239	150	489	318	163	111
IV	399604	400317	.	.	.	YDL029W	protein_coding	105	143	272	229	102	134
IV	427315	428468	.	.	.	YDL014W	protein_coding	231	101	877	123	266	397
IV	44106	44837	.	.	.	YDL229W	protein_coding	1193	2372	3080	2279	1360	2561
IV	443075	443669	.	.	.	YDL004W	protein_coding	107	46	240	88	93	105
IV	453054	453823	.	.	.	YDR002W	protein_coding	432	399	975	612	494	251
IV	45447	45857	.	.	.	YDL228C	protein_coding	806	1513	2146	1884	1052	1803
IV	45447	45857	.	.	.	YDL229W	protein_coding	806	1513	2146	1884	1052	1803
IV	471874	472928	.	.	.	YDR012W	protein_coding	1035	862	2511	451	1622	1578
IV	489538	490959	.	.	.	YDR023W	protein_coding	397	545	896	749	429	462
IV	491843	492414	.	.	.	YDR025W	protein_coding	1014	230	2467	301	808	547
IV	508118	508556	.	.	.	YDR033W	protein_coding	55	104	317	240	168	173
IV	508727	509215	.	.	.	YDR033W	protein_coding	74	134	344	290	193	262
IV	525508	526492	.	.	.	YDR037W	protein_coding	202	252	642	372	257	676
IV	555664	556447	.	.	.	YDR050C	protein_coding	4116	3885	9293	6744	3886	5779
IV	580010	580452	.	.	.	YDR064W	protein_coding	1603	933	3563	1330	946	1868
IV	588795	589363	.	.	.	YDR071C	protein_coding	128	96	276	198	98	42
IV	616793	617185	.	.	.	YDR086C	protein_coding	109	98	288	121	100	77
IV	630279	630590	.	.	.	YDR092W	protein_coding	42	37	100	41	46	23
IV	644244	644855	.	.	.	YDR098C	protein_coding	91	49	191	86	98	35
IV	653609	653932	.	.	.	YDR099W	protein_coding	37	4	96	4	43	16
IV	720873	721324	.	.	.	YDR133C	protein_coding	89	23	196	27	99	54
IV	768416	768982	.	.	.	YDR154C	protein_coding	1636	1154	3747	1332	1513	2323
IV	768416	768982	.	.	.	YDR155C	protein_coding	1636	1154	3747	1332	1513	2323
IV	77547	77727	.	.	.	YDL213C	protein_coding	23	11	44	3	21	4
IV	78638	78986	.	.	.	YDL212W	protein_coding	53	82	149	178	64	140
IV	808399	808858	.	.	.	YDR172W	protein_coding	62	26	141	52	43	84
IV	809678	810424	.	.	.	YDR172W	protein_coding	78	83	237	129	85	146
IV	812169	812929	.	.	.	YDR174W	protein_coding	91	49	273	81	120	62
IV	836534	837115	.	.	.	YDR187C	protein_coding	74	101	235	68	71	149
IV	836534	837115	.	.	.	YDR188W	protein_coding	74	101	235	68	71	149
IV	871166	871535	.	.	.	YDR209C	protein_coding	54	47	188	63	60	62
IV	871166	871535	.	.	.	YDR210W	protein_coding	54	47	188	63	60	62
IV	87554	88062	.	.	.	YDL208W	protein_coding	158	154	395	330	123	48
IV	914271	914631	.	.	.	YDR224C	protein_coding	160	30	514	40	216	24
IV	915523	916059	.	.	.	YDR225W	protein_coding	603	469	1362	742	716	362
IV	916520	917243	.	.	.	YDR226W	protein_coding	456	513	1059	814	397	463
IX	139846	140014	.	.	.	YIL118W	protein_coding	21	15	40	29	25	9
IX	186509	187006	.	.	.	YIL094C	protein_coding	82	49	143	60	104	52
IX	187197	187514	.	.	.	YIL094C	protein_coding	34	23	99	30	46	43
IX	212533	213472	.	.	.	YIL078W	protein_coding	282	353	646	736	254	562
IX	216863	217553	.	.	.	YIL076W	protein_coding	122	131	236	204	138	130
IX	231397	231965	.	.	.	YIL069C	protein_coding	829	386	1901	567	587	624
IX	243987	244420	.	.	.	YIL062C	protein_coding	109	62	190	103	80	102
IX	255122	255895	.	.	.	YIL053W	protein_coding	342	148	982	151	444	207
IX	256184	256584	.	.	.	YIL052C	protein_coding	679	440	1662	694	516	512
IX	257727	258289	.	.	.	YIL051C	protein_coding	372	123	821	167	307	202
IX	276608	277075	.	.	.	YIL041W	protein_coding	64	40	142	23	64	84
IX	317206	318003	.	.	.	YIL018W	protein_coding	5393	6800	10939	9284	3094	6261
IX	378653	379196	.	.	.	YIR012W	protein_coding	60	52	148	109	65	130
IX	423195	423695	.	.	.	YIR037W	protein_coding	87	36	190	38	76	91
IX	69150	69540	.	.	.	YIL148W	protein_coding	1288	974	2643	1656	842	2004
IX	98449	99119	.	.	.	YIL133C	protein_coding	1087	332	2380	393	702	662
Mito	26173	26678	.	.	.	Q0045	protein_coding	144	138	374	368	255	775
Mito	28050	28516	.	.	.	Q0085	protein_coding	61	35	134	72	105	147
Mito	28866	29343	.	.	.	Q0085	protein_coding	186	105	387	319	241	525
Mito	46717	46909	.	.	.	Q0130	protein_coding	209	434	702	506	313	418
Mito	58126	58513	.	.	.	Q0158	rRNA	623	178	1834	252	1564	132
Mito	58766	59492	.	.	.	Q0158	rRNA	728	114	2324	184	1748	81
Mito	59655	61460	.	.	.	Q0158	rRNA	2279	327	6608	528	4999	625
Mito	59655	61460	.	.	.	Q0160	protein_coding	2279	327	6608	528	4999	625
Mito	61769	62098	.	.	.	Q0158	rRNA	282	112	977	121	821	134
Mito	6706	6864	.	.	.	Q0020	rRNA	34	24	131	21	103	55
Mito	7052	8147	.	.	.	Q0020	rRNA	762	168	2499	291	2302	375
V	100849	101150	.	.	.	YEL027W	protein_coding	380	734	886	866	483	1299
V	101902	102359	.	.	.	YEL026W	protein_coding	176	20	573	14	219	43
V	138836	140027	.	.	.	YEL009C	protein_coding	545	205	1226	382	657	543
V	150284	150802	.	.	.	YEL001C	protein_coding	81	65	213	102	73	139
V	157825	158913	.	.	.	YER003C	protein_coding	142	138	348	114	233	349
V	166200	166715	.	.	.	YER007C-A	protein_coding	95	74	182	104	85	37
V	172146	172629	.	.	.	YER009W	protein_coding	307	143	642	204	257	439
V	177861	178433	.	.	.	YER012W	protein_coding	112	53	297	76	113	69
V	197048	197335	.	.	.	YER021W	protein_coding	43	26	95	57	39	55
V	201088	201977	.	.	.	YER023C-A	protein_coding	270	207	710	257	225	350
V	201088	201977	.	.	.	YER023W	protein_coding	270	207	710	257	225	350
V	205375	207040	.	.	.	YER025W	protein_coding	244	175	573	266	245	398
V	213902	214703	.	.	.	YER031C	protein_coding	144	58	398	96	116	165
V	223329	223667	.	.	.	YER036C	protein_coding	66	68	224	150	92	107
V	223758	224133	.	.	.	YER036C	protein_coding	52	64	193	123	81	126
V	224201	225102	.	.	.	YER036C	protein_coding	173	107	439	229	156	289
V	235562	237054	.	.	.	YER043C	protein_coding	631	430	1615	287	918	806
V	269346	269790	.	.	.	YER056C-A	protein_coding	550	244	1248	248	427	202
V	270718	271055	.	.	.	YER057C	protein_coding	57	21	151	26	47	58
V	304348	304728	.	.	.	YER073W	protein_coding	44	34	146	51	60	128
V	304992	305195	.	.	.	YER073W	protein_coding	25	26	62	23	43	67
V	305376	305679	.	.	.	YER073W	protein_coding	40	30	115	40	61	72
V	306814	307273	.	.	.	YER074W	protein_coding	1323	1097	2902	1585	847	1240
V	332472	332699	.	.	.	YER087C-B	protein_coding	29	15	91	8	57	36
V	341837	342016	.	.	.	YER091C	protein_coding	54	95	128	73	49	122
V	348622	349359	.	.	.	YER094C	protein_coding	238	122	490	216	189	140
V	363132	363799	.	.	.	YER102W	protein_coding	2507	1270	5349	2369	1762	1794
V	397244	397699	.	.	.	YER117W	protein_coding	1122	931	2473	1359	555	1335
V	401132	401930	.	.	.	YER119C-A	protein_coding	255	60	518	34	214	213
V	401132	401930	.	.	.	YER120W	protein_coding	255	60	518	34	214	213
V	413306	414033	.	.	.	YER126C	protein_coding	106	50	209	70	104	65
V	423965	424381	.	.	.	YER131W	protein_coding	685	338	1600	477	630	262
V	433115	434166	.	.	.	YER133W	protein_coding	195	173	514	349	212	141
V	465277	466138	.	.	.	YER147C-A	protein_coding	108	31	288	58	82	41
V	465277	466138	.	.	.	YER148W	protein_coding	108	31	288	58	82	41
V	483592	484240	.	.	.	YER156C	protein_coding	98	55	183	79	108	77
V	510352	512163	.	.	.	YER165W	protein_coding	444	172	1062	185	493	423
V	52490	53192	.	.	.	YEL053W-A	protein_coding	1764	902	3747	1624	1101	1643
V	52490	53192	.	.	.	YEL054C	protein_coding	1764	902	3747	1624	1101	1643
V	545681	546468	.	.	.	YER177W	protein_coding	407	589	1030	1098	515	718
V	546885	548165	.	.	.	YER178W	protein_coding	550	398	1266	331	780	1072
V	58389	59203	.	.	.	YEL051W	protein_coding	419	180	906	235	280	323
V	67117	67846	.	.	.	YEL046C	protein_coding	148	153	387	142	157	336
V	68206	68510	.	.	.	YEL046C	protein_coding	38	56	148	20	77	101
V	78298	78682	.	.	.	YEL040W	protein_coding	45	81	186	120	77	146
V	80556	81115	.	.	.	YEL038W	protein_coding	72	76	166	106	59	119
V	85660	86324	.	.	.	YEL033W	protein_coding	998	473	2454	588	948	907
V	85660	86324	.	.	.	YEL034C-A	protein_coding	998	473	2454	588	948	907
V	85660	86324	.	.	.	YEL034W	protein_coding	998	473	2454	588	948	907
VI	101750	101920	.	.	.	YFL018C	protein_coding	22	27	70	21	39	38
VI	114994	115621	.	.	.	YFL010C	protein_coding	125	109	300	95	140	184
VI	114994	115621	.	.	.	YFL010W-A	protein_coding	125	109	300	95	140	184
VI	130370	131162	.	.	.	RUF20	ncRNA	158	137	330	253	115	198
VI	130370	131162	.	.	.	YFL005W	protein_coding	158	137	330	253	115	198
VI	153704	153951	.	.	.	YFR004W	protein_coding	35	28	75	48	60	14
VI	220437	221234	.	.	.	YFR031C-A	protein_coding	3201	2830	6908	3525	2046	2487
VI	239956	240472	.	.	.	YFR044C	protein_coding	92	102	219	59	97	133
VI	249009	249754	.	.	.	YFR050C	protein_coding	128	103	379	172	128	121
VI	252608	253351	.	.	.	YFR052W	protein_coding	114	73	242	126	126	53
VI	43617	44401	.	.	.	YFL045C	protein_coding	485	642	1076	1000	529	975
VI	53194	54416	.	.	.	YFL039C	protein_coding	1367	1421	3488	1178	2117	2671
VI	55338	55986	.	.	.	YFL038C	protein_coding	232	131	503	128	255	148
VI	56429	57771	.	.	.	YFL037W	protein_coding	242	325	796	316	358	460
VI	64230	64559	.	.	.	YFL034C-A	protein_coding	47	34	120	43	45	32
VI	93469	93889	.	.	.	YFL022C	protein_coding	63	76	165	47	62	106
VII	1000967	1001869	.	.	.	YGR254W	protein_coding	888	788	2086	893	1385	1367
VII	1021224	1021783	.	.	.	YGR264C	protein_coding	103	138	281	196	83	142
VII	1021224	1021783	.	.	.	YGR265W	protein_coding	103	138	281	196	83	142
VII	1025073	1025716	.	.	.	YGR267C	protein_coding	88	47	200	87	79	56
VII	1048741	1049348	.	.	.	YGR279C	protein_coding	82	89	290	84	148	197
VII	1061810	1063095	.	.	.	YGR285C	protein_coding	401	343	894	370	588	633
VII	122632	123256	.	.	.	YGL200C	protein_coding	163	139	373	208	146	316
VII	144890	145189	.	.	.	YGL191W	protein_coding	36	29	131	69	42	32
VII	148168	148591	.	.	.	YGL189C	protein_coding	1056	348	2687	516	828	1520
VII	149549	150126	.	.	.	YGL187C	protein_coding	93	63	201	109	85	45
VII	226430	227233	.	.	.	YGL148W	protein_coding	260	262	528	324	263	445
VII	227654	228297	.	.	.	YGL147C	protein_coding	2314	1593	4807	3530	1205	2875
VII	24026	24415	.	.	.	YGL253W	protein_coding	218	450	484	570	203	349
VII	254628	255346	.	.	.	YGL135W	protein_coding	1395	1095	2973	1911	796	1525
VII	277619	278446	.	.	.	YGL123C-A	protein_coding	3785	3725	8505	7258	3243	6049
VII	277619	278446	.	.	.	YGL123W	protein_coding	3785	3725	8505	7258	3243	6049
VII	306637	307031	.	.	.	YGL106W	protein_coding	79	62	218	57	80	51
VII	311527	311983	.	.	.	YGL102C	protein_coding	3287	2681	6933	4912	2269	3897
VII	311527	311983	.	.	.	YGL103W	protein_coding	3287	2681	6933	4912	2269	3897
VII	344637	345141	.	.	.	YGL089C	protein_coding	952	553	2392	713	790	380
VII	364227	365021	.	.	.	YGL076C	protein_coding	1734	890	3829	1209	1646	1273
VII	39065	40210	.	.	.	YGL245W	protein_coding	248	352	589	397	239	473
VII	394143	394651	.	.	.	YGL058W	protein_coding	67	36	141	69	77	47
VII	400653	401233	.	.	.	YGL054C	protein_coding	96	99	236	180	83	84
VII	40779	41123	.	.	.	YGL245W	protein_coding	49	59	147	99	60	120
VII	410217	410716	.	.	.	YGL048C	protein_coding	56	27	138	67	85	98
VII	410785	411194	.	.	.	YGL048C	protein_coding	49	23	97	50	62	121
VII	437355	437935	.	.	.	YGL031C	protein_coding	1124	648	2603	1110	618	777
VII	439307	439644	.	.	.	YGL030W	protein_coding	898	663	1965	1197	666	1389
VII	458583	458752	.	.	.	YGL019W	protein_coding	26	5	64	0	22	29
VII	474433	475197	.	.	.	YGL011C	protein_coding	198	60	435	69	159	79
VII	526914	527308	.	.	.	YGR020C	protein_coding	132	73	304	119	92	93
VII	534129	534453	.	.	.	YGR027C	protein_coding	1080	1050	2380	1808	653	1701
VII	559562	559973	.	.	.	YGR037C	protein_coding	130	50	309	74	131	75
VII	56638	56925	.	.	.	YGL234W	protein_coding	31	37	79	28	22	29
VII	611896	612661	.	.	.	YGR061C	protein_coding	116	126	383	151	116	229
VII	614842	615184	.	.	.	YGR061C	protein_coding	35	64	129	64	47	85
VII	615403	615827	.	.	.	YGR061C	protein_coding	43	46	171	37	48	76
VII	62279	62777	.	.	.	YGL232W	protein_coding	65	30	110	41	60	3
VII	62978	63529	.	.	.	YGL231C	protein_coding	63	42	152	78	66	28
VII	62978	63529	.	.	.	YGL232W	protein_coding	63	42	152	78	66	28
VII	648324	648905	.	.	.	YGR085C	protein_coding	1033	663	2473	1076	776	825
VII	649478	650603	.	.	.	YGR086C	protein_coding	268	258	591	311	364	526
VII	695592	696040	.	.	.	YGR103W	protein_coding	57	47	147	85	54	55
VII	698977	699732	.	.	.	YGR106C	protein_coding	182	216	481	469	224	437
VII	727317	727898	.	.	.	YGR118W	protein_coding	1838	1120	3930	2061	1132	1320
VII	756132	756387	.	.	.	YGR132C	protein_coding	45	42	86	93	46	41
VII	761429	762138	.	.	.	YGR135W	protein_coding	163	155	376	282	145	148
VII	787185	787779	.	.	.	YGR148C	protein_coding	924	481	2199	889	606	315
VII	798606	799149	.	.	.	YGR155W	protein_coding	205	367	516	454	251	309
VII	806349	807652	.	.	.	YGR159C	protein_coding	522	617	1236	1022	612	916
VII	806349	807652	.	.	.	YGR160W	protein_coding	522	617	1236	1022	612	916
VII	81421	82071	.	.	.	YGL221C	protein_coding	99	74	189	154	93	135
VII	832746	833222	.	.	.	YGR167W	protein_coding	68	10	179	14	56	16
VII	842827	843045	.	.	.	YGR172C	protein_coding	27	17	53	22	29	36
VII	843224	843400	.	.	.	YGR172C	protein_coding	22	6	50	5	25	33
VII	846879	847376	.	.	.	YGR175C	protein_coding	78	113	198	143	102	146
VII	847448	848410	.	.	.	YGR175C	protein_coding	180	225	396	298	183	330
VII	855200	856257	.	.	.	YGR180C	protein_coding	387	516	814	889	601	627
VII	866654	867401	.	.	.	YGR185C	protein_coding	147	130	384	174	199	157
VII	882821	883198	.	.	.	YGR192C	protein_coding	3615	6370	10270	3567	6132	7752
VII	883271	883783	.	.	.	YGR192C	protein_coding	3176	5146	8566	3158	4667	8450
VII	912847	913242	.	.	.	YGR209C	protein_coding	177	116	436	164	229	158
VII	921058	921796	.	.	.	YGR214W	protein_coding	1121	617	2367	989	1071	873
VII	960013	960484	.	.	.	YGR234W	protein_coding	110	169	299	272	117	141
VII	970558	971111	.	.	.	YGR240C	protein_coding	196	277	587	249	172	367
VII	973042	973884	.	.	.	YGR240C	protein_coding	201	292	561	302	146	429
VII	998383	999121	.	.	.	YGR253C	protein_coding	175	172	395	223	205	97
VIII	104745	105191	.	.	.	YHL001W	protein_coding	704	422	1394	723	500	532
VIII	115555	115799	.	.	.	YHR005C-A	protein_coding	38	35	142	89	45	42
VIII	127102	127601	.	.	.	YHR010W	protein_coding	1654	1275	3574	2271	899	1682
VIII	141825	142255	.	.	.	YHR019C	protein_coding	144	227	362	249	207	385
VIII	142770	143478	.	.	.	YHR019C	protein_coding	227	357	582	350	236	658
VIII	159555	160130	.	.	.	YHR025W	protein_coding	86	42	238	27	117	68
VIII	187076	187498	.	.	.	YHR039C-A	protein_coding	185	116	560	129	142	117
VIII	206556	207231	.	.	.	YHR049W	protein_coding	113	108	223	197	131	162
VIII	209650	210195	.	.	.	YHR051W	protein_coding	73	50	150	100	46	69
